ts,side,entry,gap_pct,outcome,pnl_pts,pnl_dollars_gross,pnl_dollars_net,long_prob,short_prob,period
2022-11-02,SHORT,3891.75,0.006140124095139532,1,11.675250000000233,583.7625000000116,568.7625000000116,0.0,0.9003288149327222,biden
2022-11-10,SHORT,3926.5,0.04532445923460893,1,11.779500000000098,588.9750000000049,573.9750000000049,0.0,0.6525811695386603,biden
2022-11-14,LONG,4014.25,-0.013758368650574337,-1,-16.05699999999979,-802.8499999999894,-817.8499999999894,0.9383180106542655,0.0,biden
2022-11-17,LONG,3948.25,-0.013492410519083009,-1,-15.79300000000012,-789.650000000006,-804.650000000006,0.9192118516711917,0.0,biden
2022-11-18,SHORT,3990.5,0.009869669745666165,-1,-15.961999999999989,-798.0999999999995,-813.0999999999995,0.0,0.6734764180670127,biden
2022-11-22,SHORT,4013.0,0.005827432796541077,-1,-16.052000000000135,-802.6000000000067,-817.6000000000067,0.0,0.9245487287321723,biden
2022-11-24,SHORT,4077.75,0.010720039657950098,1,12.233250000000226,611.6625000000113,596.6625000000113,0.0,0.9575554795522924,biden
2022-11-28,LONG,4000.5,-0.008365867261572735,1,12.001499999999396,600.0749999999698,585.0749999999698,0.9816250178096189,0.0,biden
2022-11-29,SHORT,4002.25,0.008059945847238792,1,12.006750000000011,600.3375000000005,585.3375000000005,0.0,0.9571583697057957,biden
2022-12-01,LONG,4129.0,-0.005060240963855378,-1,-16.51599999999962,-825.7999999999811,-840.7999999999811,0.9243245053647027,0.0,biden
2022-12-08,SHORT,3985.75,0.012318242428090764,1,11.95724999999993,597.8624999999965,582.8624999999965,0.0,0.9635970828543564,biden
2022-12-21,SHORT,3911.0,0.0161740824943164,1,11.733000000000175,586.6500000000087,571.6500000000087,0.0,0.9032705130594562,biden
2022-12-29,SHORT,3834.75,0.007355355618309689,-1,-15.338999999999942,-766.9499999999971,-781.9499999999971,0.0,0.38016923230821925,biden
2023-01-03,SHORT,3881.0,0.005114923923599912,-1,-15.523999999999887,-776.1999999999944,-791.1999999999944,0.0,0.3333267593311044,biden
2023-01-04,SHORT,3869.0,0.006307302165290407,-1,-15.476000000000113,-773.8000000000056,-788.8000000000056,0.0,0.4114083132613556,biden
2023-01-09,SHORT,3939.5,0.005936801787424173,-1,-15.75799999999981,-787.8999999999905,-802.8999999999905,0.0,0.7110706453778273,biden
2023-01-24,LONG,4018.0,-0.013079521031624242,1,12.053999999999633,602.6999999999816,587.6999999999816,0.9971468371229356,0.0,biden
2023-01-25,LONG,3987.5,-0.019547578067371507,1,11.962499999999636,598.1249999999818,583.1249999999818,0.9969222750933214,0.0,biden
2023-01-26,SHORT,4059.0,0.006571605703657779,-1,-16.235999999999876,-811.7999999999938,-826.7999999999938,0.0,0.7281588070478946,biden
2023-01-30,LONG,4054.5,-0.015898058252427183,1,12.163499999999658,608.1749999999829,593.1749999999829,0.9946729692110973,0.0,biden
2023-01-31,SHORT,4076.0,0.011351653123255367,1,12.228000000000065,611.4000000000033,596.4000000000033,0.0,0.5841211838506275,biden
2023-02-02,SHORT,4210.25,0.019245899655026433,1,12.630750000000262,631.5375000000131,616.5375000000131,0.0,0.920489885544903,biden
2023-02-13,LONG,4107.0,-0.007371601208459255,1,12.320999999999913,616.0499999999956,601.0499999999956,0.9955761329793444,0.0,biden
2023-02-14,SHORT,4206.75,0.006038502929570644,1,12.620249999999942,631.0124999999971,616.0124999999971,0.0,0.9599847296345722,biden
2023-02-16,LONG,4103.75,-0.022160004765592434,1,12.311249999999745,615.5624999999873,600.5624999999873,0.9954333491053484,0.0,biden
2023-02-21,LONG,4045.25,-0.00748328528491693,1,12.135749999999462,606.7874999999731,591.7874999999731,0.9452292229574771,0.0,biden
2023-03-02,LONG,3935.0,-0.01427855711422843,1,11.804999999999382,590.2499999999691,575.2499999999691,0.9388096201659547,0.0,biden
2023-03-03,SHORT,4079.75,0.023455628723737743,1,12.239250000000084,611.9625000000042,596.9625000000042,0.0,0.8337098744492929,biden
2023-03-14,SHORT,3943.25,0.014536566540168439,1,11.829749999999876,591.4874999999938,576.4874999999938,0.0,0.9710158671862696,biden
2023-03-16,LONG,3869.25,-0.021681415929203585,1,11.607749999999669,580.3874999999834,565.3874999999834,0.9005837826680191,0.0,biden
2023-03-21,SHORT,4020.0,0.008909524407077374,-1,-16.079999999999927,-803.9999999999964,-818.9999999999964,0.0,0.8607861680199946,biden
2023-03-30,SHORT,4119.5,0.01496766245765313,1,12.358500000000276,617.9250000000138,602.9250000000138,0.0,0.9756473079215183,biden
2023-03-31,SHORT,4127.75,0.011517490657354745,1,12.383249999999862,619.1624999999931,604.1624999999931,0.0,0.9776717289705203,biden
2023-04-10,LONG,4105.75,-0.008751810719459185,1,12.317249999999149,615.8624999999574,600.8624999999574,0.7946803910082785,0.0,biden
2023-04-14,LONG,4166.25,-0.010274379379973886,1,12.498749999999745,624.9374999999873,609.9374999999873,0.8367386151522821,0.0,biden
2023-04-25,LONG,4138.5,-0.01429081814933908,1,12.415499999999156,620.7749999999578,605.7749999999578,0.9896043399466538,0.0,biden
2023-04-26,SHORT,4139.25,0.010991023997068972,1,12.417749999999614,620.8874999999807,605.8874999999807,0.0,0.8902285508910754,biden
2023-05-04,SHORT,4133.0,0.006208155812537974,1,12.399000000000342,619.9500000000171,604.9500000000171,0.0,0.2832584816301219,biden
2023-05-16,LONG,4139.0,-0.012171837708830568,1,12.416999999999462,620.8499999999731,605.8499999999731,0.9896412481964274,0.0,biden
2023-05-19,LONG,4219.75,-0.007409585416054076,1,12.659249999999702,632.9624999999851,617.9624999999851,0.9157765996578255,0.0,biden
2023-05-25,SHORT,4160.75,0.008544418858320135,1,12.482250000000022,624.1125000000011,609.1125000000011,0.0,0.3029653455069876,biden
2023-05-29,LONG,4221.5,-0.008106203007518742,1,12.664499999999862,633.2249999999931,618.2249999999931,0.7959010277634191,0.0,biden
2023-06-01,LONG,4191.25,-0.009746012994684028,1,12.573749999999563,628.6874999999782,613.6874999999782,0.7783218103272114,0.0,biden
2023-06-02,SHORT,4298.0,0.007383100902379036,-1,-17.192000000000007,-859.6000000000004,-874.6000000000004,0.0,0.9344865521385899,biden
2023-06-14,LONG,4374.0,-0.01966717095310133,1,13.121999999999389,656.0999999999694,641.0999999999694,0.9942656650962524,0.0,biden
2023-06-16,LONG,4452.5,-0.014770149914255737,1,13.357499999999163,667.8749999999582,652.8749999999582,0.9939197545015824,0.0,biden
2023-06-19,SHORT,4495.0,0.008808842506873082,1,13.484999999999673,674.2499999999836,659.2499999999836,0.0,0.9722519540730166,biden
2023-06-21,SHORT,4464.5,0.006878664862426609,1,13.393500000000131,669.6750000000065,654.6750000000065,0.0,0.9829002400274187,biden
2023-06-22,SHORT,4442.5,0.0074838417054088335,1,13.327500000000327,666.3750000000164,651.3750000000164,0.0,0.9772890255269236,biden
2023-06-29,LONG,4414.0,-0.01164352888490816,1,13.24199999999928,662.099999999964,647.099999999964,0.9978290112431559,0.0,biden
2023-06-30,SHORT,4516.0,0.017919531161951996,1,13.547999999999774,677.3999999999887,662.3999999999887,0.0,0.9751126737945517,biden
2023-07-10,SHORT,4481.0,0.0107708791518637,1,13.443000000000211,672.1500000000106,657.1500000000106,0.0,0.9910434535370519,biden
2023-07-11,LONG,4453.0,-0.008902737591809484,1,13.358999999999469,667.9499999999734,652.9499999999734,0.7731786763579985,0.0,biden
2023-07-12,SHORT,4512.5,0.008830762351889065,-1,-18.050000000000182,-902.5000000000091,-917.5000000000091,0.0,0.9139586694972492,biden
2023-07-13,SHORT,4570.0,0.013472306924654953,1,13.710000000000036,685.5000000000018,670.5000000000018,0.0,0.9890547046858896,biden
2023-07-24,SHORT,4627.25,0.013913996165434206,1,13.881750000000466,694.0875000000233,679.0875000000233,0.0,0.9929184297045185,biden
2023-07-26,SHORT,4636.75,0.009031064686360946,1,13.910249999999905,695.5124999999953,680.5124999999953,0.0,0.9846099669178017,biden
2023-07-27,SHORT,4732.5,0.01922145049265067,1,14.197500000000218,709.8750000000109,694.8750000000109,0.0,0.9936884378429699,biden
2023-07-28,SHORT,4646.5,0.01785323110624315,1,13.939500000000407,696.9750000000204,681.9750000000204,0.0,0.9948953514097983,biden
2023-08-16,LONG,4448.25,-0.013090021631815385,1,13.344749999999294,667.2374999999647,652.2374999999647,0.9934284085551971,0.0,biden
2023-08-31,SHORT,4632.0,0.023872679045092937,1,13.89599999999973,694.7999999999865,679.7999999999865,0.0,0.973126118389345,biden
